car_model,car_year,car_vin,price,country,color
Navajo,1993,5N1AN0NW3FN831146,"€17051,31",Russia,Teal
Galant,2007,3C3CFFCRXET113123,"€41685,64",Philippines,Aquamarine
8 Series,1993,KNAFT4A23A5926340,"€12247,81",Indonesia,Green
Aviator,2003,WBADS43451G108816,"€18225,61",Philippines,Red
Passat,1994,5GTMNGEE7A8794605,"€31162,63",Indonesia,Khaki
CL-Class,2000,1C3BCBFG3CN662828,"€47194,52",Argentina,Yellow
Miata MX-5,2001,WBAVC73517A176456,"€5797,54",Honduras,Turquoise
XF,2009,KMHEC4A43FA889123,"€29423,85",China,Pink
Grand Vitara,2007,SALAG2D47DA255844,"€30444,60",Indonesia,Mauv
Xterra,2007,2HNYD18601H534922,"€58507,65",China,Puce
Uplander,2006,3D7JV1EP6AG863843,"€56638,22",Sweden,Khaki
Bravada,2001,1G6KD54Y35U079743,"€57911,15",Cameroon,Blue
Sierra 3500,2009,1GT010CG0CF086675,"€12645,23",Malaysia,Red
Civic,2011,WAUCKAFR3AA463150,"€15682,14",Egypt,Pink
Viper,2004,1GD312CG6CF301755,"€8162,75",Poland,Turquoise
Freelander,2008,JH4DC53855S624586,"€33949,57",Philippines,Orange
S80,1999,1N6AF0LXXEN114767,"€36493,82",Morocco,Pink
4Runner,2002,3C6JD6DT8CG367462,"€46634,00",Indonesia,Orange
Legend,1995,1FMEU8FE1AU752370,"€45056,82",Morocco,Pink
Q7,2009,SCFAB22381K694607,"€54082,80",Chad,Maroon
Savana 1500,2012,1J4NF1GB9BD109774,"€48424,35",Peru,Purple
Echo,2003,1G6DM57N630753544,"€24669,13",Philippines,Blue
XJ,2006,KNDJT2A15A7269361,"€16017,36",Indonesia,Maroon
Journey,2009,SCBCU7ZA5AC792283,"€23791,68",Argentina,Blue
Probe,1997,JN8CS1MU9DM156339,"€4412,30",United States,Pink
2500 Club Coupe,1995,SCBDC4BL5AC491529,"€57727,62",Czech Republic,Green
RX,2013,19XFB4F24FE950480,"€14640,98",Colombia,Teal
X5,2011,4USBT53545L650339,"€53903,03",Russia,Aquamarine
240SX,1993,3VWML7AJ0BM535433,"€28592,95",China,Indigo
Cavalier,1992,SCFHDDAT4EG161944,"€31032,26",Ukraine,Purple
Contour,1995,1GKKRNED6CJ956996,"€23026,21",Dominican Republic,Goldenrod
Jetta,2012,WBAYB6C5XFD487293,"€34522,96",Brazil,Crimson
RL,2002,WAUXL58E35A830487,"€53620,11",Chile,Fuscia
NSX,2003,WAUDFAFL3BN033164,"€47166,13",China,Indigo
F250,1999,WBAYE8C54FD418408,"€35011,46",Indonesia,Crimson
960,1993,WBAKG7C56DJ972476,"€14763,51",Jamaica,Khaki
Century,2005,4T1BK1EB6FU981774,"€30077,47",Albania,Crimson
Dakota Club,2003,1J4AA2D13AL465883,"€11109,34",Philippines,Goldenrod
Mulsanne,2011,WA1FFCFS5FR583781,"€30639,02",Saudi Arabia,Aquamarine
Safari,2005,5J6TF2H57DL623296,"€26191,96",Greece,Orange
Regency,1998,WA1WMBFE3BD797282,"€58400,66",Philippines,Teal
Sable,1987,WBA3V5C56EP519987,"€27784,39",Brazil,Aquamarine
Avenger,2008,WAUJT68EX4A345905,"€11875,01",China,Pink
S4,2011,5N1AT2MK2EC422467,"€46952,46",China,Teal
Mountaineer,2001,SAJWA6AT2F8667568,"€49641,59",Netherlands,Orange
Windstar,2003,WBACN53491L930132,"€29323,74",China,Yellow
Cooper,2007,WP0AB2A96FS942039,"€30397,58",China,Aquamarine
Intrigue,1998,ZFBCFADH7EZ561948,"€21998,91",Argentina,Goldenrod
SC,1996,WAUXD68D92A703944,"€58835,12",Indonesia,Fuscia
Odyssey,1998,WAULC58E05A148472,"€8859,37",Philippines,Pink
Marquis,1984,5J8TB3H56FL059667,"€21799,94",Indonesia,Teal
IS F,2009,WBA3B5C51DP743000,"€26277,60",Philippines,Indigo
Tracer,1994,JN8AE2KP6E9798362,"€12211,27",China,Fuscia
Civic,1996,JM3TB2BA1C0556242,"€10305,78",United States,Puce
IS,2012,KNDJT2A13A7229117,"€25336,10",Indonesia,Blue
Tacoma Xtra,2000,WBAKG1C50CJ717320,"€6109,71",Philippines,Purple
Baja,2003,WA1LMBFE6BD185659,"€55787,49",Philippines,Goldenrod
Venture,2000,WA1CGAFE9BD864343,"€14720,48",Philippines,Red
CL65 AMG,2009,SALFR2BG4EH813011,"€17858,29",China,Purple
7 Series,2009,5TDBK3EH2DS315808,"€40337,54",Indonesia,Fuscia
Civic Si,2006,3VWJX7AJ1AM535673,"€30513,00",Honduras,Fuscia
Firebird,2000,5N1AT2ML5FC066963,"€9894,79",Indonesia,Purple
JX,2013,WAULFAFR5BA884020,"€58065,45",Thailand,Blue
Esteem,1997,JH4DC54823C621375,"€57436,08",Vietnam,Khaki
Lucerne,2006,3VW4T7AT0EM640785,"€56666,90",Pakistan,Orange
Crossfire Roadster,2006,19XFB2E28CE260345,"€24290,12",South Korea,Aquamarine
Escalade,2011,SAJWJ0FF7F8118335,"€48543,62",China,Violet
240SX,1998,3MZBM1L70EM750334,"€8177,80",Niger,Maroon
Tundra,2001,WBAVM1C51EV612285,"€29365,23",China,Teal
Outlander,2008,WAULD54B02N414344,"€28621,37",Thailand,Maroon
RS6,2003,1G6DF577490966027,"€22772,51",Albania,Mauv
Century,1988,5UXFG8C51AL320907,"€33031,35",Luxembourg,Fuscia
Suburban 2500,2000,SCFKDCEPXEG825113,"€24904,92",Sweden,Puce
F250,2003,5N1AZ2MH5FN762706,"€47207,55",Philippines,Green
98,1995,1G4GF5G39FF620700,"€9431,64",Nigeria,Crimson
VS Commodore,1996,WP0AB2A86FK293253,"€46132,96",Chile,Indigo
XK,2006,WBSBL93456P739585,"€39387,92",Indonesia,Orange
GL-Class,2007,2G4GT5GV1C9284412,"€25234,85",Brazil,Red
Trooper,1995,WA1EY74L68D222973,"€5488,98",Indonesia,Khaki
Odyssey,2008,JN8AZ1MU4EW906917,"€30325,60",Norway,Violet
EX,2011,WAUSH78E47A421117,"€58079,97",Kazakhstan,Green
Concorde,2004,WAUJT64B22N577190,"€24953,70",Bangladesh,Pink
M6,2006,JH4DC53806S466515,"€48826,21",China,Purple
STS-V,2009,WAUDV94F08N728600,"€33898,82",Czech Republic,Purple
Dakota Club,2005,WVGAV7AX9CW716547,"€25742,23",China,Purple
3500,1999,JM1NC2EF3A0081213,"€23401,98",Indonesia,Blue
S2000,2005,JM3TB2BV3D0123882,"€48340,86",China,Violet
9000,1990,5FRYD3H69FB660130,"€57762,14",China,Turquoise
V50,2005,WAUSVAFA3AN421289,"€44061,75",Colombia,Khaki
Neon,1999,WAUWGBFB9BN092156,"€47442,31",France,Mauv
430,1991,WVGAK7A97AD112045,"€5076,63",Indonesia,Yellow
riolet,1994,3GYVKNEF8AG526278,"€27677,58",Philippines,Turquoise
V8,1991,JHMZF1C69ES787875,"€14296,25",Poland,Orange
TT,2001,WBA3N7C51FK266412,"€18380,05",Brazil,Red
Sportvan G10,1993,JH4DC53006S688062,"€40793,51",Lebanon,Indigo
Grand Prix,1972,4USFE43557L347658,"€6621,63",United States,Crimson
RX,2002,WP0AA2A96CS256775,"€17380,37",France,Orange
Corvette,2002,1G4HJ5EM3AU958225,"€9132,84",Vietnam,Mauv
Laser,1994,JN8AF5MV1FT792371,"€52767,31",Poland,Blue
Aveo,2004,WA1VMAFE6AD628345,"€24323,43",China,Khaki
Grand Prix,2002,1GD11ZCG9CF051363,"€33888,85",Sweden,Violet
911,1990,1G6DL8E36D0485960,"€20135,41",Netherlands,Teal
Avenger,2009,4T1BD1EB4EU955814,"€49177,48",Russia,Pink
Q5,2010,WVGEG9BP4CD425276,"€46401,32",Benin,Indigo
Previa,1996,1G6DS8EV3A0674517,"€36195,18",Brazil,Blue
Insight,2011,3D73M3CL1BG297728,"€17796,50",Jordan,Purple
Murano,2003,JTDKTUD34ED700227,"€59960,39",Indonesia,Fuscia
Accent,2010,KNAFT4A27B5145029,"€54753,17",Poland,Yellow
Grand Marquis,2004,WBA4B3C50FG816191,"€6415,72",China,Khaki
Viper,1992,1FTEW1CF0FK545006,"€52781,10",Indonesia,Crimson
S40,2006,WBA3T3C57FP896596,"€6244,92",Indonesia,Turquoise
Torino,1970,4JGDA2EB8CA506884,"€15319,04",China,Indigo
RL,2003,WAUSF78E96A119021,"€40455,25",Thailand,Aquamarine
Accord,2002,1FTSW2A52AE331693,"€35219,93",Sweden,Crimson
Jetta,1988,1C3BC4FB2BN239799,"€35115,61",Thailand,Crimson
Ram 2500,2006,2FMDK3GC1BB207021,"€21865,57",Slovenia,Red
Elantra,2011,WBA4C9C52FD107327,"€57529,52",Poland,Violet
ZDX,2010,3VW1K7AJ9EM137504,"€20239,68",Namibia,Blue
Genesis Coupe,2011,5TDDCRFH5FS435533,"€21589,20",Vietnam,Green
Cabriolet,1987,YV4952CT4D1935819,"€55402,99",China,Turquoise
Escalade ESV,2006,WBA3B3C52FJ056439,"€17457,69",China,Yellow
Tredia,1985,WBALM7C55AE889252,"€48864,35",Russia,Indigo
Cooper,2006,WBAYP5C54ED261258,"€31123,56",Canada,Turquoise
Protege,1995,TRUDD38J481911514,"€59603,48",Philippines,Fuscia
APV,1993,1NXBU4EE0AZ623407,"€36149,40",Russia,Turquoise
Colt,1994,1G4HD57286U048077,"€13938,51",France,Crimson
Taurus,1988,2G4GR5GX8E9441632,"€28702,20",Yemen,Indigo
ES,2012,SCFEDCAD8AG192100,"€10700,95",China,Red
Safari,2005,WAULT68E95A065208,"€5814,25",China,Turquoise
Bronco,1990,1GYUCDEF9AR951026,"€27414,08",Poland,Yellow
Eldorado,1995,1GYS4GEF3CR264794,"€25475,22",China,Purple
Mazdaspeed 3,2008,3D7JB1EK4AG486006,"€53171,20",Costa Rica,Red
Pajero,1999,5BZBF0AA7FN913476,"€20438,22",Tanzania,Puce
Jetta,1989,SCFFDCCD5CG562472,"€51167,35",Portugal,Goldenrod
Neon,1999,KMHFG4JGXCA661408,"€14054,75",China,Red
G6,2006,3N6CM0KN1FK337267,"€27796,38",Norway,Mauv
Ram,2009,JM1NC2JF0C0889527,"€7510,77",Ukraine,Orange
LTD,1984,1FMCU4K37AK143803,"€9334,31",Philippines,Pink
Tundra,2005,JH4NA12653T779116,"€49335,37",Russia,Blue
Challenger,2002,1FTEX1EW0AK112014,"€12739,16",Cambodia,Aquamarine
458 Italia,2010,WAUGGBFC7DN575516,"€42276,02",Germany,Green
Verona,2005,WBA4C9C50FG301529,"€53010,17",Russia,Pink
XC60,2011,JN1CV6AP5CM389599,"€27094,71",Argentina,Mauv
Esprit,1988,55SWF4JB2FU674112,"€39061,67",China,Yellow
Grand Prix,1989,WBA5M4C55ED115487,"€31891,46",Philippines,Turquoise
B-Series,2007,5GAKVAEDXBJ173969,"€37051,10",Laos,Aquamarine
Versa,2010,3C6TD5PT7CG315979,"€24072,24",Morocco,Red
IS,2005,WAULFAFH7CN650852,"€19903,40",Poland,Yellow
Quattro,1992,WAUDFAFL7DA874057,"€53229,85",China,Mauv
Lucerne,2010,3C63DPKL9CG996844,"€34123,41",Uzbekistan,Mauv
Explorer Sport Trac,2007,WAUKF98E48A160252,"€29813,99",Namibia,Mauv
Intrepid,1997,3C6JD6BP3CG976240,"€13923,40",China,Yellow
IPL G,2012,5UXFA93546L143039,"€48195,74",Philippines,Purple
i-Series,2007,WA1MKBFP7AA083296,"€22462,84",China,Khaki
Mighty Max,1986,WAUBF98E18A922310,"€4971,10",Honduras,Indigo
LeBaron,1994,1N6AF0KY2FN578583,"€48756,37",Philippines,Crimson
Silverado,2007,1N6AD0CW8EN437244,"€21384,03",Kazakhstan,Red
CTS,2008,WAUVC68E64A588418,"€19466,37",Colombia,Teal
RS 4,2008,WA1LMAFE1DD077866,"€10909,70",Thailand,Maroon
Yukon XL 2500,2010,2C3CCAST8CH635408,"€23540,53",China,Crimson
Corvette,1998,YV4852CT3A1997669,"€47420,69",China,Yellow
Voyager,1996,SCFFDCCD5CG903269,"€37428,18",Indonesia,Teal
Prelude,1985,1N6AF0KY8EN078071,"€50978,32",Thailand,Orange
Imperial,1992,3GYFK66NX6G208587,"€15556,62",Peru,Orange
Patriot,2011,1GD312CG8BF153249,"€26131,81",China,Goldenrod
Diablo,2001,55SWF4JB3FU574259,"€30580,88",Indonesia,Blue
Patriot,2009,WBA4A9C58FG129790,"€19687,63",Indonesia,Mauv
LTD,1986,WA1GFCFS2FR445801,"€20341,51",Maldives,Pink
Jimmy,2001,WBAEK73454B558778,"€37433,68",China,Maroon
S10,1998,WAUDT74F45N952605,"€49707,02",Iran,Crimson
Altima,2010,2T1KU4EE9CC673758,"€33837,97",China,Green
F-Series,2009,1G6DD1E36E0152177,"€19412,81",Philippines,Purple
Oasis,1996,KMHDB8AE2CU512839,"€33056,68",Indonesia,Fuscia
XT,1989,1FBSS3BL2AD939092,"€21676,70",Brazil,Fuscia
SLS-Class,2012,SAJWA6BU4F8997297,"€30115,15",Poland,Crimson
S4,2001,4JGBB9FBXBA613185,"€31689,83",China,Khaki
2500,1992,1FTNX2A57AE673988,"€31950,29",China,Puce
SL-Class,1997,4T1BD1FK1CU573171,"€43147,93",Argentina,Violet
Rodeo,1994,1N6AA0ED9FN258801,"€16990,69",Brazil,Purple
300M,2001,1GYFC532X9R043551,"€18756,92",China,Turquoise
Galant,1986,1FTWF3D56AE702518,"€23673,00",Greece,Goldenrod
SC,2000,1HGCR2E54FA746295,"€55708,50",Democratic Republic of the Congo,Red
5 Series,2000,WAUKF98E86A094320,"€54791,80",France,Mauv
C70,2003,5FNRL5H23CB700229,"€23146,50",United States,Purple
Xterra,2003,1FTFW1E80AF395936,"€10548,96",Indonesia,Crimson
Vanquish S,2005,5J6TF3H33CL614131,"€18663,38",Indonesia,Pink
T100,1998,3VW4T7ATXEM611505,"€12207,61",China,Teal
Firebird,1968,1G4HB5EM1AU500034,"€21275,32",Sweden,Pink
Suburban 2500,1998,2G4WD532X51393408,"€12318,96",Malaysia,Yellow
62,2005,3D4PG9FG6BT251150,"€39422,16",Indonesia,Teal
Five Hundred,2007,SCFAB01A18G823126,"€25582,10",Czech Republic,Teal
Town Car,2002,KM8JT3AF1EU653187,"€46917,91",Brazil,Red
STS,2011,WAUHGAFC0EN393690,"€24542,49",Indonesia,Purple
Monte Carlo,2002,19XFA1E83BE070288,"€13217,37",China,Purple
Supra,1992,1FTEW1E80AK557275,"€24366,52",China,Mauv
M-Class,2006,WAUAKAFB3BN760696,"€27849,86",Thailand,Teal
S10,2001,1GD12XEG6FF969512,"€42831,12",United States,Violet
Camaro,1998,WBABW53485P642061,"€27244,38",Poland,Violet
G37,2010,WBAET37495N490288,"€7569,01",Indonesia,Fuscia
Astra,2008,2G4GL5EX9E9660863,"€4430,09",Czech Republic,Yellow
Carens,2007,JTHFE2C28F2997099,"€25492,78",India,Yellow
Probe,1996,4T1BK1EB9EU991276,"€18753,14",Sweden,Violet
Impala,2011,1D7RV1GT2BS889203,"€10321,44",Indonesia,Green
Monza,1975,WBSBR93475P087159,"€44822,02",China,Turquoise
SVX,1992,JN1CV6AP9BM274258,"€40985,35",Croatia,Blue
Navajo,1992,WBAET37413N308001,"€56326,61",South Africa,Indigo
Pajero,2005,3VW507AT6EM710786,"€34877,14",Bangladesh,Goldenrod
Alcyone SVX,1996,WA1UFAFL3EA408205,"€18891,56",France,Indigo
G,2000,JTHKD5BH2B2090870,"€42342,94",Philippines,Crimson
Canyon,2010,WAUBFAFL7CN161738,"€42175,69",Russia,Aquamarine
LeSabre,1989,1C4PJLAK9CW449935,"€54399,89",Indonesia,Goldenrod
Durango,2004,1G6YV34A145273176,"€15516,58",Croatia,Aquamarine
Monte Carlo,1973,W04GZ5GV6B1559143,"€10117,91",Indonesia,Purple
Grand Caravan,1999,WA1YD64B83N486452,"€43257,31",Indonesia,Teal
Grand Vitara,2005,3D73Y4HLXBG554887,"€30546,47",China,Violet
Aerostar,1989,2FMPK3J90FB681980,"€30937,95",Mexico,Mauv
Leganza,2000,WAUMF98P76A389564,"€17361,20",Indonesia,Fuscia
Outlander,2011,WBAGN83535D066769,"€45801,24",Czech Republic,Khaki
Mark VIII,1998,1G6DV5EP6B0359753,"€40567,16",Cameroon,Mauv
Econoline E250,1999,WAUPL68E95A293226,"€12912,06",Russia,Pink
Express 1500,2006,19XFB4F3XEE666259,"€6930,25",France,Violet
98,1994,YV1902FH1D1074618,"€33221,20",Croatia,Goldenrod
XC90,2006,1G6AV5S88E0734482,"€46360,93",Burkina Faso,Indigo
Skylark,1993,W04GP5ECXB1122902,"€51128,39",Portugal,Aquamarine
Avalon,2002,1GD22ZCG8CZ576723,"€29293,21",Colombia,Aquamarine
SL-Class,1987,WBABV13424J833682,"€9621,63",South Africa,Indigo
Astro,2002,WBA3B9C53DF123665,"€30246,41",Russia,Goldenrod
G-Series 2500,1997,1C4RDJEG6DC855426,"€50035,63",China,Maroon
5 Series,2009,WAUHFAFL8CA714530,"€52257,86",Georgia,Crimson
Tempo,1989,WBABN53462P779210,"€14120,31",Indonesia,Fuscia
Frontier,2007,1VWAH7A33CC424416,"€10651,67",United States,Indigo
G-Series G20,1995,JH4KB16637C814946,"€7026,56",Brazil,Khaki
Colt Vista,1994,JN1CV6EK4CM079913,"€45363,64",Sweden,Blue
CR-X,1984,3C3CFFCR1FT905971,"€48795,36",Philippines,Purple
Legacy,2006,3D4PG6FVXAT206174,"€8849,08",Kenya,Orange
H1,1996,WBALL5C55CJ979521,"€30170,67",Brazil,Violet
New Beetle,2012,KL4CJHSB8EB984107,"€38171,17",China,Blue
Rogue,2008,WAUKF78E78A428540,"€21486,11",El Salvador,Mauv
Avalon,2012,WAUDK78T39A811508,"€33129,96",Bulgaria,Yellow
GX,2012,KMHHU6KJ2FU576413,"€42660,70",Indonesia,Yellow
Chariot,1995,1G4GA5ERXCF811172,"€54595,77",Netherlands,Green
Rabbit,2007,3G5DA03L26S844814,"€15623,41",Russia,Green
DeVille,2000,WUARL48H17K632863,"€8414,92",Poland,Crimson
300E,1993,1G4GA5GR0CF505269,"€14824,66",Indonesia,Turquoise
Navigator,2010,1D7RW2BK1BS737124,"€44619,90",Venezuela,Goldenrod
Ranger,1987,WBAFU9C59DD943199,"€45853,73",China,Yellow
Excursion,2005,5GAKRBKD1EJ288916,"€55362,27",Ukraine,Pink
Century,1997,KMHCM3AC0AU611972,"€22878,96",Indonesia,Red
Camaro,1975,1J4NF1FB6AD079665,"€25456,82",Indonesia,Green
Camaro,1982,WVWAN7AN9EE784908,"€57460,32",Russia,Khaki
Impala,2006,WBAPM7G51AN504779,"€19421,74",United States,Violet
Accord,1991,1GYFK26289R680743,"€43971,44",Philippines,Purple
Escalade EXT,2007,1G6DL1E37D0849097,"€55082,88",China,Khaki
Durango,1998,WBABN33473P740583,"€44168,34",China,Goldenrod
Accord,1996,WAUCH74F79N508346,"€25264,48",Indonesia,Purple
Grand Voyager,2000,1GYS4EEJ4CR930179,"€31151,29",China,Indigo
M3,2002,1FAHP2D87DG202895,"€48046,48",United States,Pink
Eclipse,2002,4A4JM2AS1BE561231,"€57631,15",Portugal,Mauv
Ranger,2003,19UUA76607A642713,"€20427,61",China,Fuscia
L-Series,2005,19UUA9F71CA479701,"€50741,81",Indonesia,Indigo
V40,2003,2B3CJ4DG3BH577985,"€48707,25",Finland,Violet
Impala,2001,JTHBL5EF5D5333697,"€46945,59",Peru,Crimson
Camry Solara,2007,1FTSF3B53AE179928,"€24378,74",Kazakhstan,Mauv
S-Class,2004,1G6AH5S39D0832267,"€40261,68",Portugal,Turquoise
A6,2006,1C6RD7PTXCS727991,"€7618,91",Canada,Yellow
Laser,1991,3G5DB03L36S862395,"€28527,71",Bangladesh,Goldenrod
Camaro,1994,WAUHF78P88A443446,"€57530,60",United States,Puce
Ram 3500,1997,WAUPL68E35A023201,"€13108,65",Thailand,Puce
Caliber,2011,5N1BA0NE2FN876943,"€40237,33",China,Turquoise
Montego,2007,5TDBW5G18AS934134,"€42689,43",Russia,Yellow
Tacoma Xtra,2004,TRUUT28N051848147,"€28431,98",Colombia,Teal
E350,2003,1GYS3AEF4CR468228,"€15165,71",China,Fuscia
Grand Marquis,1987,2C4RDGBG7FR903520,"€47088,02",Ukraine,Fuscia
3 Series,1997,SALAB2D44AA865761,"€36979,70",Nigeria,Blue
Clubman,2012,WAULC68E65A990576,"€53911,40",Afghanistan,Khaki
Firefly,1992,2HNYD18725H819717,"€11959,58",Indonesia,Pink
Corvette,1966,3GYT4LEF5BG529131,"€10380,57",France,Fuscia
545,2005,2G4WD582761670056,"€18578,78",China,Blue
GS,1997,1G6DK1E34C0879112,"€6662,34",Sweden,Orange
X6,2011,JN1AZ4EH0FM096264,"€27102,38",Indonesia,Goldenrod
300M,2000,2G61S5S36D9231423,"€10924,61",China,Red
Range Rover,1987,JTEBC3EH7C2391961,"€54846,02",Thailand,Pink
Continental,2000,WBAKF3C56CJ453941,"€40990,57",United States,Orange
Continental GT,2012,1GYEE437090529947,"€44040,72",Niue,Orange
Durango,2006,1G6DU6EV2A0017495,"€31172,17",China,Violet
GranTurismo,2012,SALSF2D45AA037971,"€57068,27",China,Green
Acclaim,1995,JN1CV6FE9CM258666,"€5179,33",Palestinian Territory,Goldenrod
Chariot,1989,WBAKG7C54DJ950279,"€17804,11",Brazil,Yellow
MPV,1991,1GKS2FEJ4CR649196,"€6120,80",United States,Indigo
NSX,1999,WAURGAFD9DN994060,"€30775,34",Philippines,Indigo
Yukon XL 1500,2010,1C3BC4EB5AN744557,"€9621,55",Kenya,Mauv
Wrangler,2005,3C63DPAL3CG698789,"€4132,86",Indonesia,Fuscia
RX-7,1988,JTEBU4BF0BK234969,"€53211,83",Brazil,Turquoise
911,2004,1YVHZ8AH7A5040019,"€30316,38",Indonesia,Khaki
Camry,2002,WBAKC8C57AC640581,"€53712,36",China,Aquamarine
V8,1990,1G6DW677850599942,"€16950,79",Sweden,Maroon
Altima,1994,JHMZF1C42CS398815,"€46045,42",China,Aquamarine
Azera,2008,1G6DH5E54D0879040,"€31322,37",Burkina Faso,Yellow
Dakota Club,2007,1FTEW1CM5EF856825,"€56930,14",China,Maroon
Avenger,1999,3D7LT2ETXAG524150,"€38864,69",Japan,Teal
Mazda3,2009,3C3CFFAR1ET049802,"€46847,00",Albania,Pink
Rendezvous,2007,JN8AZ2KR9BT750276,"€42552,06",China,Maroon
Cougar,1997,WAUJGBFC5DN987701,"€53201,34",Canada,Goldenrod
Sorento,2006,SCBDC47L28C099241,"€59009,71",China,Turquoise
2500,1996,5GADT13S652817854,"€30056,39",Jordan,Goldenrod
Ion,2006,1N6AD0CWXEN519024,"€14434,19",Russia,Teal
S6,2011,JTHCL5EF7F5516722,"€53311,17",Latvia,Violet
SL-Class,2012,5TDBKRFH3ES207782,"€46644,59",Poland,Goldenrod
Civic,2008,1G6AB5RA4F0338102,"€37315,04",China,Purple
Z4,2003,WP0AA2A86BU881008,"€10228,86",Kiribati,Puce
Corolla,1994,WDDPK4HA0CF248544,"€22092,59",China,Crimson
Prelude,1985,WAUVT68E25A895053,"€37883,24",China,Khaki
Fifth Ave,1993,WAU4FAFL3BA665198,"€25216,15",Indonesia,Crimson
Yukon,2009,4T1BK1EB3FU007248,"€15474,83",Indonesia,Violet
Axiom,2004,YV4940BZ2D1780457,"€32452,18",Indonesia,Puce
Hemisfear,2007,5FRYD4H25GB235394,"€8441,70",Russia,Mauv
XK Series,2000,WBASP4C59CC697624,"€49771,91",Djibouti,Blue
SRX,2006,SCBCP73W99C514011,"€57571,60",Nigeria,Blue
Wrangler,2000,JH4CL96857C377159,"€35690,65",France,Goldenrod
rio,1999,2T3BF4DV5AW197216,"€53663,09",Indonesia,Crimson
QX,2003,1G6KD57Y52U578504,"€18707,51",Portugal,Maroon
A4,1997,KMHTC6AD9EU134753,"€51926,14",Indonesia,Purple
850,1997,19UUA75548A860731,"€40189,23",China,Pink
1500,2011,WA1WMBFEXBD565875,"€23092,24",Portugal,Green
GTO,1971,WAUFFAFL3AA469592,"€21650,94",China,Mauv
Civic,2011,WBSWD93548P181397,"€6369,59",Vietnam,Turquoise
Express 3500,2000,TRUSX28N021235369,"€25538,47",Brazil,Purple
Galant,2009,1B3CB8HB7AD941341,"€24326,25",Portugal,Goldenrod
Wrangler,1999,YV4852CT1B1996067,"€53603,82",France,Orange
Maxima,1993,WDDHF0EB3EA096788,"€54180,33",Philippines,Khaki
Rio,2003,WBSBL93443J102833,"€40522,50",Cuba,Blue
S4,2000,5UXFF0C51AL602257,"€32554,57",United States,Mauv
