car_model,car_year,car_vin,price,country,color
Grand Prix,1963,JTJBARBZ9F2730506,"€30087,97",Latvia,Aquamarine
Town & Country,2011,WBA3B3C50FJ684452,"€21383,69",Indonesia,Maroon
S60,2013,JN1AZ4EH7CM386352,"€22859,16",Burkina Faso,Crimson
L-Series,2002,KM8JT3AB7BU148599,"€54314,53",Colombia,Red
Discovery,2011,2G61S5S36D9093589,"€51246,37",Portugal,Teal
Falcon,1967,WAUDH94F27N736297,"€7791,54",Greece,Orange
ES,2000,SCBLE47K69C894095,"€11030,05",Portugal,Red
Grand Am,1993,1G4GG5G36CF186728,"€35706,98",Palestinian Territory,Fuscia
Mulsanne,2012,YV4960BZ3A1931537,"€44500,21",Russia,Pink
Canyon,2012,1FMJK1F52AE341498,"€17934,00",China,Orange
Express 2500,2004,KNADM4A39C6772159,"€25627,63",Nigeria,Puce
Camaro,2012,WAUGFAFR4AA695360,"€17816,57",Honduras,Goldenrod
Golf III,1994,5N1BA0ND8FN556615,"€14487,73",Kenya,Purple
GX,2012,1D7RW2BK1BS256175,"€55962,51",Poland,Yellow
Grand Caravan,1992,4JGBF2FB0AA000373,"€52323,23",Poland,Maroon
Miata MX-5,2010,WBAVB17516N636653,"€30697,36",Portugal,Blue
Yaris,2009,1GYEK63NX2R285356,"€8088,13",France,Mauv
Boxster,2009,5FNRL5H28CB224107,"€31826,64",Botswana,Crimson
Prius,2003,WAUPL58E05A550753,"€5901,91",Poland,Khaki
Fiero,1986,2C3CA1CV8AH107662,"€8818,77",Philippines,Purple
Boxster,2004,WBASN2C52BC259147,"€40055,63",Albania,Goldenrod
FJ Cruiser,2011,WDDHF8JB7DA278075,"€33832,60",Iran,Pink
VUE,2009,2B3CA7CW1AH517065,"€25143,56",Vietnam,Maroon
Gallardo,2010,1G6DP577770976044,"€54766,69",Argentina,Mauv
Ranger,1984,3VW1K7AJ4BM780905,"€22050,92",Vietnam,Crimson
MKZ,2010,1FMJK1F55DE156334,"€7259,69",Iran,Turquoise
Mohave/Borrego,2009,WAULT64B42N126853,"€37394,31",Syria,Teal
Azure,2007,1D7RE5GK0BS110976,"€33840,10",Ukraine,Purple
Thunderbird,1985,WBAYF4C54DD951314,"€14916,13",China,Green
Vandura 1500,1992,WAUKF98E36A465688,"€33328,89",Indonesia,Green
90,1989,2B3CL3CG7BH736528,"€33284,95",Russia,Maroon
Cavalier,1997,3G5DB03E54S873963,"€32559,88",Philippines,Green
2500 Club Coupe,1996,JN1AJ0HP1AM310951,"€45325,52",Russia,Mauv
Miata MX-5,2011,1GD01ZCG2EF738716,"€21300,82",Myanmar,Fuscia
Prius,2009,WAUSF78E27A315190,"€45504,74",Japan,Blue
GS,1994,WBAPM5C54BF142758,"€6968,23",Indonesia,Fuscia
Sunbird,1987,5UXKR0C54E0600175,"€12915,87",Indonesia,Red
XK,2007,WP0AA2A98BS808856,"€25150,58",Colombia,Aquamarine
CTS,2005,4T1BK1EB7FU986983,"€32723,68",Peru,Fuscia
A8,1998,1HGCP2F39BA642186,"€53168,46",Peru,Red
Ram,2011,1C3CDZAB3EN819489,"€33209,45",Mexico,Blue
Jetta,2004,JN1AZ4EH7CM524603,"€10996,96",China,Pink
Mustang,2004,WAUDFAFL3DA673336,"€49779,44",Nigeria,Green
Golf,2000,5GAKVAKD3EJ199080,"€12963,17",Cuba,Yellow
Discovery,2002,1GYUCAEF7AR839954,"€6204,72",Brazil,Turquoise
Town & Country,2004,1FTEW1E89AK201374,"€20724,97",Portugal,Goldenrod
Savana 3500,2011,WBABW33474P865730,"€40495,90",Japan,Yellow
Savana 2500,1998,1FTWW3CY3AE319518,"€32039,25",Russia,Indigo
Expedition,2007,2C3CCAJTXCH572006,"€29841,39",France,Teal
Golf,1999,KMHTC6AD6EU065097,"€44617,26",China,Fuscia
Brat,1984,JTHFE2C25C2058374,"€14476,05",Mexico,Pink
Relay,2005,3VW517AT0FM138614,"€59270,26",Pakistan,Khaki
S-Class,1997,TRUVD38J391641309,"€13403,74",South Africa,Orange
Ram Wagon B150,1994,WAUJC58E62A900887,"€15085,47",Nicaragua,Goldenrod
F250,2007,1G4GG5E32CF655980,"€11644,22",China,Teal
Rodeo,1992,1GYFC56289R158080,"€7597,86",China,Pink
GS,1997,JN8AS5MT4CW935933,"€40089,84",Peru,Turquoise
Colt,1993,JTDJTUD33DD711990,"€30008,76",Portugal,Blue
Mountaineer,2000,WAUDH78E26A432348,"€10014,63",Indonesia,Purple
Century,2004,1G6DV5EP4B0737066,"€10310,31",Portugal,Purple
S5,2012,1FTEX1E86AK728530,"€46428,37",China,Fuscia
S10,1993,WBA3V7C52EJ331448,"€23251,33",China,Puce
G37,2008,3VWPG3AGXAM807922,"€45109,49",Nigeria,Purple
Uplander,2005,1GYS4AEF1DR064205,"€8145,41",Azerbaijan,Khaki
Corolla,2009,5J8TB18218A575380,"€22400,70",France,Fuscia
HHR,2008,1D4PU7GX6AW221425,"€6704,06",China,Teal
Intrepid,2000,WA1LFAFP7EA984300,"€8944,10",Philippines,Khaki
Ciera,1996,1NXBU4EE0AZ366538,"€33054,73",Russia,Teal
Canyon,2010,WBAEU33432K481571,"€16062,65",Russia,Fuscia
Altima,2008,5N1AR2MM7EC711246,"€17254,01",Indonesia,Fuscia
Avalon,2005,JM1CR2W31A0275460,"€5204,52",Indonesia,Puce
EX,2008,KNADH4A39A6512328,"€43305,74",China,Green
Murciélago,2005,1GYS4LKJ6FR979008,"€56393,36",China,Teal
Mirage,2002,1G6DM8ED4B0371605,"€6585,82",Greece,Yellow
Mazda5,2009,WBAPM7C59AE910220,"€38515,26",Palestinian Territory,Indigo
Yaris,2007,SCBLE47K88C585159,"€45338,39",Indonesia,Fuscia
Bronco II,1984,2B3CJ4DV9AH979684,"€28862,86",United States,Purple
Enclave,2012,JM3TB2BV0D0072809,"€51155,65",China,Orange
Roadmaster,1992,19UUA65695A030602,"€24354,97",Indonesia,Blue
H2,2009,JN8AF5MR4CT773389,"€33043,11",Peru,Indigo
CL-Class,2012,WAUBFCFLXCA390630,"€7768,01",Russia,Indigo
i-350,2006,WDDEJ8GB8AA915608,"€14667,72",Netherlands,Indigo
Land Cruiser,2005,5UXWX7C50BL671013,"€6267,83",Brazil,Crimson
Civic,2012,WBADX7C56BE727210,"€15478,77",Nepal,Aquamarine
9-7X,2008,WD3PE7DC0F5818413,"€48339,65",Canada,Purple
300ZX,1995,SCFFDAAE0BG132122,"€33619,54",Poland,Red
Sportage,2009,KMHDB8AEXCU416750,"€54961,81",China,Yellow
R8,2010,1C4SDJCT2CC549971,"€42639,65",Pakistan,Fuscia
Prius,2008,JTHDU1EF9D5047205,"€39979,24",Ukraine,Yellow
Jetta,1988,1FTEW1CM2CF307693,"€47775,83",Poland,Teal
Cutlass,1998,1FBAX2CM0FK903466,"€53018,45",Tanzania,Mauv
300D,1992,4A31K2DF4AE314535,"€42127,43",Philippines,Orange
Sierra 3500,2006,3C3CFFFH0CT856485,"€38538,41",China,Indigo
GTI,1993,3VW467AT4DM899639,"€34347,27",Belarus,Yellow
Dakota,1994,1ZVBP8JS6C5257123,"€25019,91",Indonesia,Green
A5,2012,WA1BV74L08D812081,"€26739,34",Lithuania,Turquoise
F-Series,2002,WBA3B3G59EN007630,"€42947,35",China,Maroon
QX,2003,5NPDH4AE6DH611753,"€17942,98",Mexico,Green
Equinox,2007,2C3CDXGJ3FH078290,"€24247,06",Sweden,Turquoise
Viper,2010,WBAYM1C5XFD144349,"€31649,40",Ukraine,Mauv
CL,1997,1GTN1TEH2FZ308732,"€14250,75",Iran,Yellow
Tahoe,1997,JTDKDTB33C1035278,"€9495,76",Russia,Teal
Sundance,1994,JHMFA3F23AS743659,"€5559,37",Iran,Puce
Expedition,2002,WBSDX9C50CE290152,"€24704,70",Japan,Indigo
Golf,2010,1G6DJ1ED8B0615966,"€24218,40",Brazil,Khaki
Achieva,1994,WAUEV74F07N697503,"€40281,87",China,Indigo
Malibu,1998,WAUFFAFC3DN111910,"€14825,12",United States,Goldenrod
Equator,2011,1GD312CG2BF640415,"€35774,52",Russia,Green
Tacoma,2006,5NPEB4AC9EH213345,"€17707,69",Nigeria,Khaki
Bonneville,1985,1G6AC5S35D0152381,"€43745,02",China,Yellow
SLK-Class,2003,1N6AA0EK7FN166505,"€9471,30",Bosnia and Herzegovina,Aquamarine
Elan,1991,WAUVC68E62A349299,"€31200,13",Philippines,Khaki
LeMans,1968,WBAYF8C52DD643470,"€16053,22",Sudan,Mauv
Tacoma Xtra,1997,1G6KF54901U098893,"€21976,07",Russia,Khaki
Aurora,1996,WVWAP7AN7DE929422,"€5202,72",China,Red
STS,2006,1FMEU6DE0AU617324,"€36818,07",Poland,Purple
SL-Class,1989,JN1CV6EK8CM664641,"€8442,02",Poland,Blue
5000CS Quattro,1986,WP0AA2A86EK505327,"€20706,40",China,Turquoise
Wrangler,1998,1GYS3DEF0CR206501,"€41282,28",China,Indigo
3500,1995,1N6AD0CU7AC256768,"€17849,48",Uzbekistan,Teal
Thunderbird,1986,1VWAH7A31EC329081,"€17537,30",Sweden,Violet
Yukon,1998,JN1CV6EK0AM119434,"€37345,43",China,Red
Century,1999,5N1AN0NUXAC355514,"€27598,68",Honduras,Green
GT350,1969,TRUDD38J281204458,"€24530,79",Philippines,Violet
458 Italia,2010,5J8TB3H53GL756912,"€41517,38",China,Yellow
Grand Caravan,2010,WA1CMBFPXFA783715,"€57660,74",Sweden,Goldenrod
Forester,2004,3GYFNEEY8AS894230,"€26935,03",China,Blue
F150,1997,WAUJC58E82A291611,"€40409,38",China,Green
9-4X,2011,WAUHF68P06A040343,"€4098,27",China,Green
Equinox,2006,1GYS3TKJ8FR301914,"€22972,80",Poland,Aquamarine
F-Series,1985,SCBZK22E92C189113,"€21743,19",Indonesia,Fuscia
XJ,2008,3D7TP2CT1AG551826,"€53546,71",Indonesia,Crimson
Liberty,2002,1FTEW1CF9FK466384,"€11215,38",Belarus,Fuscia
Sierra 3500,2001,WBAFR9C57CC268460,"€50458,52",China,Khaki
TSX,2008,WAUKF78PX9A060129,"€59344,77",Philippines,Pink
Stratus,2003,1FTEX1CM9BK390459,"€49773,85",Philippines,Violet
Veracruz,2007,1G6KE57Y14U632042,"€52215,49",Sweden,Aquamarine
Grand Marquis,1995,JM1NC2JF7D0389897,"€35611,66",Argentina,Violet
6000,1985,1G6DL5EG1A0309444,"€47364,91",China,Maroon
Intrepid,2003,WA1DGBFE5FD360937,"€42459,85",Mongolia,Fuscia
Ipsum,2000,WA1LGAFE4FD548127,"€44306,82",Philippines,Red
Venza,2011,5UXFG83589L471531,"€59219,14",China,Yellow
Suburban 2500,2004,2LMHJ5FK9FB403567,"€14480,80",Vietnam,Crimson
Yukon XL 1500,2000,JN1CV6FE4DM116470,"€41000,04",Croatia,Violet
Ram 2500,2005,1D4PT7GX9BW400899,"€8540,70",Philippines,Blue
Tucson,2006,1N6AF0KYXFN011733,"€36604,35",Vietnam,Orange
Titan,2007,2C3CDYCJ1EH725683,"€11532,11",France,Mauv
323,1992,WAUVT58E04A121585,"€57639,86",Madagascar,Aquamarine
Range Rover,1989,3GYFNKE64BS774567,"€54767,34",Japan,Purple
Santa Fe,2010,WAUBC48H56K607636,"€38068,93",Germany,Maroon
9-3,2000,2C3CK3CVXAH471445,"€33230,73",Czech Republic,Aquamarine
Celica,1984,WBA5M0C5XED290374,"€35559,18",Indonesia,Green
Boxster,2002,KNADH5A33A6274613,"€12432,85",Argentina,Green
DTS,2009,WAUEFBFL3DN223088,"€30686,06",China,Puce
RSX,2003,WAU2GBFC1DN026498,"€32624,72",Malawi,Maroon
M5,1993,4T1BK1EB6EU185038,"€58216,33",Turkmenistan,Maroon
Passport,1999,WBSDX9C56DE220074,"€35214,72",Greece,Turquoise
Bravada,1992,5J6TF1H30CL005017,"€50158,43",New Zealand,Khaki
Arnage,2006,3VW507AT1FM930290,"€6271,56",Ukraine,Mauv
FJ Cruiser,2009,5GADS13S372531644,"€38684,14",Brazil,Blue
C/V,2012,WAUZL64B81N954316,"€38482,57",Canada,Turquoise
del Sol,1994,KMHTC6AD3CU792887,"€13843,02",Kazakhstan,Teal
Grand Prix,1982,3VWPG3AG1AM260443,"€32841,42",Philippines,Teal
Impreza WRX,2011,JTEBU4BF9EK860069,"€58190,29",Croatia,Pink
Express 1500,2006,1FTSW3B52AE000651,"€55012,81",China,Khaki
S70,1998,1C3BCBEB3DN891310,"€12282,33",South Korea,Blue
Lynx,1986,JN1BJ0HR8DM340202,"€48644,69",Brazil,Goldenrod
Envoy XL,2003,5FRYD3H6XFB882286,"€5980,13",Central African Republic,Fuscia
Range Rover,2004,WBA5M0C50ED268335,"€34138,06",Brazil,Green
GX,2005,WVGAV7AX1FW011066,"€42833,69",China,Turquoise
Safari,1992,WAUPEAFM4CA639929,"€56056,87",Iran,Red
300,2008,1N6AA0EJ3FN681038,"€29362,45",China,Maroon
Aveo,2004,5UMCL93472L180999,"€9633,76",China,Khaki
Camaro,1982,SCBDC47L87C675638,"€19758,81",Philippines,Puce
Tempo,1988,5XXGM4A79CG864778,"€32188,35",Ethiopia,Green
S10,2000,SCFAB22363K999882,"€46495,10",Brazil,Puce
Insight,2001,WBAPM77539N973819,"€5777,20",Portugal,Goldenrod
CLS-Class,2009,1GYS3GKJ4FR919321,"€49394,78",United States,Turquoise
Protege,2000,1FTSW3B55AE157557,"€17370,72",Portugal,Green
QX,1998,WAUFFAFMXCA870133,"€43164,19",China,Mauv
RAV4,2006,3D7JV1EP1AG319072,"€20409,98",China,Red
Miata MX-5,2007,1N6AA0EC8EN872714,"€4579,87",Honduras,Turquoise
Envoy,2005,WVGAV7AX4BW184204,"€11462,57",China,Goldenrod
Econoline E150,1995,4USFE43537L047598,"€19207,92",China,Puce
Cabriolet,1985,WP0AA2A80FK345396,"€35969,07",Czech Republic,Mauv
RX-8,2007,3D73Y3HL3BG440272,"€58982,19",Slovenia,Violet
E350,2011,1D7CE3GK4AS773752,"€51752,91",Brazil,Red
Sierra,2007,1FTSW2B57AE156615,"€24438,32",Sweden,Puce
Metro,2000,WAULH54B21N051600,"€55955,96",China,Red
Escalade ESV,2007,2HNYD28558H162548,"€8902,67",Russia,Maroon
Neon,2001,19UUA655X4A057863,"€39535,69",Indonesia,Pink
6 Series,2005,JM1NC2NF9E0889281,"€49047,56",Indonesia,Mauv
SL-Class,1987,5LMJJ2H5XBE542668,"€47945,07",Russia,Aquamarine
Crown Victoria,2003,KMHTC6AD6EU135486,"€57702,81",Croatia,Fuscia
Sonic,2012,SAJWA1C77D8543554,"€45787,54",Brazil,Mauv
xD,2008,1GKS1HE05ER468018,"€37604,60",Russia,Khaki
E-Class,2010,1FMJK1G51EE933267,"€44876,63",China,Red
Club Wagon,1994,JN1CV6AP9BM341375,"€47220,49",Philippines,Aquamarine
Daytona,1984,JHMZE2H3XDS099812,"€58559,99",Belarus,Orange
Town & Country,1999,WA1TFAFL1EA496408,"€46616,08",Brazil,Fuscia
Sierra 1500,2003,5N1AR2MM8EC289259,"€52906,77",Vietnam,Aquamarine
Yukon XL 2500,2004,1GD21XEG0FZ968703,"€7529,67",China,Teal
F250,2002,4F2CY0C71BK652101,"€50551,91",France,Indigo
TrailBlazer,2003,1G6DP57V190820437,"€23445,08",Mauritius,Violet
Colt Vista,1992,1G4HP54KX24269203,"€43050,18",China,Red
Continental Mark VII,1985,WAUDF78E38A408343,"€52146,98",Azerbaijan,Violet
XF,2009,3GYEK62N06G308005,"€21063,22",Israel,Turquoise
Sportage,2008,JH4CL96864C081059,"€32445,88",China,Teal
TrailBlazer,2008,SALSF2D43CA204170,"€43528,73",Zimbabwe,Aquamarine
Phantom,2007,1G6AH1RX2F0527214,"€26480,04",New Caledonia,Fuscia
599 GTB Fiorano,2007,2G4WS52J351163952,"€26586,28",Philippines,Green
LX,2004,1GD02XEG9FZ426939,"€25174,07",Czech Republic,Crimson
Wrangler,1992,1GKS1EEF1BR090553,"€46216,22",Russia,Yellow
Cougar,2001,1G6DU6EV5A0395925,"€35948,98",Peru,Aquamarine
Spectra,2005,WBABW33485P064581,"€10545,58",Nigeria,Indigo
Lucerne,2011,WAUDGBFL8CA903051,"€22323,31",Sweden,Crimson
M6,2009,1N6AA0CA8CN625191,"€29068,90",Mali,Pink
Jetta,1997,SCBLE37G26C836244,"€27824,23",Portugal,Teal
GTI,2000,YV1672MK7D2156246,"€26229,67",China,Red
Grand Marquis,2002,WAULF78K49A081132,"€40670,35",Pakistan,Green
Spectra,2009,1G6DM57N940974945,"€27573,85",Russia,Mauv
Navigator,2012,SCFAD02A77G065154,"€49816,09",China,Green
G-Series G30,1992,JHMZE2H58DS220581,"€32233,26",Mongolia,Green
Sierra Hybrid,2006,WVGEF9BP2DD460838,"€33819,91",Ukraine,Red
Charger,1969,WBA3B9C5XEJ856570,"€50741,83",China,Yellow
DeVille,2005,5UXFG8C56CL371970,"€9840,05",Indonesia,Puce
C-Class,2005,1G4HE5EM3AU181310,"€52665,70",China,Red
Achieva,1995,WAUAC68D31A466035,"€17874,58",China,Blue
Suburban,2008,WBA3B5G58EN102000,"€46368,98",Philippines,Fuscia
Elantra,1996,1G6DL5ED3B0711389,"€45404,89",Philippines,Puce
Outback,2001,1FTEW1CM5CF175271,"€27664,96",China,Green
Sentra,2011,WUAGNAFG0BN607888,"€29045,37",Japan,Blue
Sunfire,1996,2G61L5S38F9010115,"€16853,95",China,Orange
i-Series,2007,4JGCB2FEXBA308002,"€11968,49",Peru,Aquamarine
Montero,1993,2HNYD182X2H083514,"€51890,27",Greece,Aquamarine
Town Car,2011,JTDKDTB32C1814798,"€10790,13",Philippines,Pink
Supra,1997,WAUSH78E27A928324,"€21040,54",Philippines,Maroon
Crossfire Roadster,2006,WAUWMAFC5EN263517,"€57948,43",Poland,Blue
Tacoma,2000,WAULD54B02N200938,"€9160,87",China,Mauv
Durango,2011,1D4PT5GK2AW431368,"€37568,96",Thailand,Fuscia
Avalanche,2008,WAUJC58EX5A635234,"€29132,97",Mexico,Aquamarine
Optima,2009,SCBFR7ZA0DC540265,"€30784,62",South Africa,Turquoise
Continental,1985,2G4WC582191503683,"€7226,14",Denmark,Fuscia
Econoline E250,1999,WAULC68EX5A679555,"€28003,91",China,Puce
Mustang,2011,4T1BK3DB4AU387318,"€49855,77",Russia,Violet
Continental Mark VII,1985,1GYUKCEF0AR176404,"€23597,51",China,Mauv
Suburban 1500,2008,1G6AA5RX6D0790203,"€38634,90",China,Green
XJ Series,2002,WAUUL78E78A002994,"€13773,13",China,Aquamarine
Sunfire,2000,3N1AB6AP2AL741240,"€40146,62",Indonesia,Blue
Pajero,1991,JH4DC44681S280852,"€19379,94",Venezuela,Crimson
Equinox,2011,1FTSW3B51AE875607,"€54115,47",Poland,Teal
Tracker,1995,19UUA65506A689872,"€15334,03",Iran,Maroon
Capri,1991,JH4CU2F67AC015604,"€29915,08",China,Violet
S-Class,2002,1G6DV1EP3D0808897,"€56499,76",Kyrgyzstan,Goldenrod
Pilot,2010,1G6DG577990115242,"€34529,08",China,Puce
Avalon,1999,WBAYP1C50ED066587,"€51507,51",China,Mauv
Sienna,2009,1N6BF0KL2FN298056,"€8718,95",South Korea,Pink
Sonic,2012,JH4CW2H58DC791517,"€34993,88",Nigeria,Orange
Firebird,1984,5TFBY5F15DX840075,"€23654,15",Rwanda,Blue
Lancer Evolution,2002,1G6AY5S37E0406921,"€54739,58",France,Mauv
APV,1992,SCBLC47J47C323277,"€57448,88",Sweden,Maroon
Charade,1992,2C3CCAJG6DH924082,"€57846,95",Czech Republic,Mauv
W201,1992,1GD01ZCG6EF380150,"€7231,67",China,Mauv
Impala,2007,2T1BU4EE1DC356445,"€17426,64",China,Violet
Yukon,1996,WBAPM7C5XAA887831,"€16857,30",Egypt,Orange
Phantom,2012,WAUCFAFH6EN131570,"€57321,31",Argentina,Red
FJ Cruiser,2007,1B3BD1FB7BN603885,"€20027,76",Indonesia,Red
Monterey,2006,JN8AF5MR3DT151822,"€10164,60",Poland,Indigo
Fusion,2011,SCFFDECN6CG404565,"€7115,66",China,Mauv
CL-Class,2000,WUATNAFG8EN068987,"€49588,30",Brazil,Turquoise
Escalade EXT,2002,1FMJK1F5XBE414117,"€25933,86",Iran,Orange
Colorado,2009,1B3CB9HA0BD258430,"€4317,02",Russia,Mauv
G37,2012,JTDBT4K37B4950821,"€45436,10",Brazil,Crimson
Passport,2001,1G6DW6ED6B0600042,"€8904,75",Philippines,Green
Savana 2500,1998,JN8AE2KP0C9235188,"€54942,07",Palestinian Territory,Blue
C-Class,2005,SAJWA4DB3DL145940,"€40368,61",Portugal,Red
A5,2009,WP1AE2A24CL308840,"€28907,41",Indonesia,Crimson
Sebring,1995,2G4GW5EV4B9858106,"€24370,44",Indonesia,Crimson
Q7,2007,2FMDK4JC0AB192265,"€57805,67",Canada,Orange
Sonata,2002,KM8JT3AF8EU837798,"€29520,55",Colombia,Indigo
V70,2001,WBA1F5C5XFV141335,"€55159,18",Indonesia,Teal
Tiburon,1999,WAUEH98EX8A536377,"€7672,54",Ethiopia,Puce
S40,2006,1ZVBP8AN4A5173289,"€26707,75",Indonesia,Fuscia
Neon,1996,WAUKF98EX8A961414,"€54876,89",Czech Republic,Mauv
Diamante,1996,4USBU53567L417529,"€49377,54",China,Fuscia
MDX,2001,1D7RE3GK4AS546538,"€31728,14",China,Puce
Accent,2006,1D4PU4GKXAW911732,"€41591,86",Colombia,Yellow
Pajero,2001,3N1CN7AP3EK203969,"€13576,33",China,Goldenrod
Stratus,1995,JN1CV6FE5AM364240,"€58400,03",China,Turquoise
C30,2013,JA32U1FU1DU303783,"€46530,80",Indonesia,Khaki
Dakota,1997,1FMCU4K30CK322154,"€58046,43",Indonesia,Khaki
XK Series,2013,1GD311CG1FF661417,"€36307,72",Poland,Khaki
Excel,1993,3GTU1YEJXDG580776,"€38179,11",Russia,Turquoise
Murciélago,2003,1FTWX3A53AE314017,"€58106,99",Poland,Purple
X-Type,2004,5UXKS4C58E0643963,"€22876,22",Cuba,Crimson
M3,1995,1G4HD57238U161972,"€50332,34",Indonesia,Maroon
Forenza,2008,WDDEJ7KB3DA934587,"€53650,27",Indonesia,Blue
S-Class,1989,3GYFNCE33FS145089,"€41748,06",China,Indigo
9-5,2011,WBAAW33441E848872,"€28145,76",Portugal,Red
Sequoia,2006,3GYFNDEY7AS043773,"€18491,99",China,Crimson
Club Wagon,1994,1G6DC67A680295436,"€55036,16",Greece,Khaki
Camaro,1967,WBAKG1C59CE603437,"€56809,36",Peru,Red
RL,2003,5FNYF3H27FB759196,"€30566,80",Croatia,Turquoise
SL-Class,1991,5TDDK3DC0FS684099,"€56474,65",China,Goldenrod
9-7X,2008,4T1BF3EKXBU194031,"€18818,88",Philippines,Green
Corvette,1975,JM1NC2LF0C0947455,"€50625,02",Mexico,Teal
Miata MX-5,1999,JN8AZ1MUXEW057022,"€17955,52",Peru,Orange
Ram Wagon B350,1992,WA1DGBFE7DD456159,"€38115,64",Indonesia,Maroon
V70,2010,5NPDH4AE0BH795634,"€40043,82",China,Crimson
Mustang,1965,WBAYF4C55ED528386,"€4161,08",Poland,Yellow
Colorado,2004,1GYS4HEF1CR101289,"€41123,08",China,Green
9-3,2000,JN1CV6EK1CM529565,"€28911,51",China,Violet
XC70,2005,1FBNE3BLXED486706,"€17353,75",Indonesia,Pink
Starion,1984,WAUMFAFL4AA827614,"€35427,93",United States,Crimson
Express 3500,2003,WAU3VAFR6BA509112,"€32542,64",China,Puce
Pajero,1986,WBAPT73518C821072,"€30326,59",Indonesia,Teal
Brooklands,2010,2C3CCAEG8EH392250,"€7016,22",China,Pink
Ram 1500,1999,WAUJT64B44N513638,"€9366,47",Armenia,Maroon
SL-Class,1988,SAJWA1CZ5E8178018,"€29676,19",South Korea,Fuscia
Frontier,2006,WBAKF3C53CJ223127,"€38542,62",Philippines,Blue
Corvette,1996,WAUFFBFL9BN385423,"€52255,93",Peru,Crimson
Carrera GT,2005,WBAVB735X8F950386,"€54708,45",Portugal,Green
LX,2006,1N4AL2AP2CC305558,"€47088,63",Japan,Crimson
C70,2000,1GD220CG9CZ797372,"€13631,63",Iceland,Fuscia
88,1994,1N6AA0CA0CN590095,"€41465,53",Czech Republic,Khaki
F150,1996,KL4CJDSB0DB283729,"€15699,90",China,Green
Corvette,2002,2C3CCARGXDH113860,"€5645,68",Portugal,Crimson
Vision,1995,JA32X2HUXBU770160,"€10230,18",Kyrgyzstan,Puce
Econoline E350,1995,WBA5B1C53FD628565,"€4655,50",Norway,Teal
Avalon,2004,WAUAFAFL9EN408658,"€54988,11",China,Orange
Century,2005,KMHFC4DD9AA722533,"€44981,90",Portugal,Aquamarine
MX-5,2012,5XXGM4A72CG166075,"€38597,45",Nigeria,Puce
Odyssey,2008,WBAYG0C5XDD962369,"€48913,62",Peru,Blue
GLI,2008,WBSWD9C5XAP483623,"€54679,26",Japan,Crimson
